NAME,BUY_DATE,BUY_DATE_USED
LG 14ZD970-LX16K,2018,2018
SAMSUNG GALAXY S22 ULTRA,2022,2022
SAMSUNG NT300E5C-S65S,2013,2018
APPLE IPAD 9.7 6th 32GB,2019,2019
AMD RYZEN-5 3400G,2019,2019
NEX 32 INCH TV,2020,2020
LG 42 INCH LED TV,2015,2015
LG 65UJ7250 UHD LED TV,2017,2018
LG B50PV,2012,2020
LG 22V240,2015,2020
Xeon DB Server,2016,2021
ASUS K42JC,2011,2019
Samsung NT300V5A-WL6P,2012,2014
LG Gram 13Z940,2014,2018
ASUS VIVO i5-9400,2020,2022
i5-4570,2014,2021
i5-4590,2015,2018
G3260,2015,2022
Galaxy Tabe,2018,2018
Galaxy Note 9,2018,2018
Xiaomi,2021,2021
EPSON,2017,2017
Samsung SL-M2074f,2015,2015
LG Refrigerator,2017,2018
LG Washing Machine,2021,2021
LG Refrigerator 2,2019,2022
